date,title,artist,rank
2020-12-19,Sleigh Ride,The Ronettes,20
2020-12-19,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,21
2020-12-19,Kings & Queens,Ava Max,22
2020-12-19,Therefore I Am,Billie Eilish,23
2020-12-19,Dynamite,BTS,24
2020-12-19,Underneath The Tree,Kelly Clarkson,25
2020-12-19,34+35,Ariana Grande,26
2020-12-19,Levitating,Dua Lipa Featuring DaBaby,27
2020-12-19,Bang!,AJR,28
2020-12-19,Happy Holiday / The Holiday Season,Andy Williams,29
2020-12-19,On Me,Lil Baby,30
2020-12-19,Christmas (Baby Please Come Home),Darlene Love,31
2020-12-19,White Christmas,Bing Crosby,32
2020-12-19,It's Beginning To Look A Lot Like Christmas,Michael Buble,33
2020-12-19,Rudolph The Red-Nosed Reindeer,Gene Autry,34
2020-12-19,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,35
2020-12-19,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,36
2020-12-19,(There's No Place Like) Home For The Holidays,Perry Como,37
2020-12-19,Monster,Shawn Mendes & Justin Bieber,38
2020-12-19,Santa Tell Me,Ariana Grande,39
2020-12-19,Run Rudolph Run,Chuck Berry,40
2020-12-19,Errbody,Lil Baby,41
2020-12-19,Rockstar,DaBaby Featuring Roddy Ricch,42
2020-12-19,WAP,Cardi B Featuring Megan Thee Stallion,43
2020-12-19,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,44
2020-12-19,Wonderful Christmastime,Paul McCartney,45
2020-12-19,What You Know Bout Love,Pop Smoke,46
2020-12-19,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",47
2020-12-19,Holiday,Lil Nas X,48
2020-12-19,More Than My Hometown,Morgan Wallen,49
2020-12-19,Lonely,Justin Bieber & benny blanco,50
2020-12-19,Whoopty,CJ,51
2020-12-19,"Big, Big Plans",Chris Lane,52
2020-12-19,Diamonds,Sam Smith,53
2020-12-19,Better Together,Luke Combs,54
2020-12-19,Hawai,Maluma & The Weeknd,55
2020-12-19,Ain't Always The Cowboy,Jon Pardi,56
2020-12-19,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,57
2020-12-19,Starting Over,Chris Stapleton,58
2020-12-19,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,59
2020-12-19,I Should Probably Go To Bed,Dan + Shay,60
2020-12-19,Love You Like I Used To,Russell Dickerson,61
2020-12-19,B.S.,Jhene Aiko Featuring H.E.R.,62
2020-12-19,Without You,The Kid LAROI,63
2020-12-19,You Broke Me First.,Tate McRae,64
2020-12-19,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,65
2020-12-19,Forever After All,Luke Combs,66
2020-12-19,My Ex's Best Friend,Machine Gun Kelly X blackbear,67
2020-12-19,Prisoner,Miley Cyrus Featuring Dua Lipa,68
2020-12-19,7 Summers,Morgan Wallen,69
2020-12-19,Wonder,Shawn Mendes,70
2020-12-19,Rockin' Around The Christmas Tree,Justin Bieber,71
2020-12-19,Real Shit,Juice WRLD x benny blanco,72
2020-12-19,Midnight Sky,Miley Cyrus,73
2020-12-19,La Noche de Anoche,Bad Bunny & ROSALIA,74
2020-12-19,Dicked Down In Dallas,Trey Lewis,75
2020-12-19,Oh Santa!,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,76
2020-12-19,Tyler Herro,Jack Harlow,77
2020-12-19,Champagne Night,Lady A,78
2020-12-19,Good Time,Niko Moon,79
2020-12-19,Favorite Time Of Year,Carrie Underwood,80
2020-12-19,Throat Baby (Go Baby),BRS Kash,81
2020-12-19,Hit Different,SZA Featuring Ty Dolla $ign,82
2020-12-19,Golden,Harry Styles,83
2020-12-19,Took Her To The O,King Von,84
2020-12-19,pov,Ariana Grande,85
2020-12-19,Don't Stop,Megan Thee Stallion Featuring Young Thug,86
2020-12-19,Hole In The Bottle,Kelsea Ballerini,87
2020-12-19,Take Me Home For Christmas,Dan + Shay,88
2020-12-19,Bichota,Karol G,89
2020-12-19,So Done,The Kid LAROI,90
2020-12-19,Back To The Streets,Saweetie Featuring Jhene Aiko,91
2020-12-19,Somebody's Problem,Morgan Wallen,92
2020-12-19,Life Goes On,BTS,93
2020-12-19,Martin & Gina,Polo G,94
2020-12-19,Heather,Conan Gray,95
2020-12-19,Hallelujah,Carrie Underwood & John Legend,96
2020-12-19,Practice,DaBaby,97
2020-12-19,Put Your Records On,Ritt Momney,98
2020-12-19,Te Mudaste,Bad Bunny,99
2020-12-19,Silent Night,Carrie Underwood,100
2020-12-12,Mood,24kGoldn Featuring iann dior,1
2020-12-12,All I Want For Christmas Is You,Mariah Carey,2
2020-12-12,Positions,Ariana Grande,3
2020-12-12,Rockin' Around The Christmas Tree,Brenda Lee,4
2020-12-12,Dakiti,Bad Bunny & Jhay Cortez,5
2020-12-12,Laugh Now Cry Later,Drake Featuring Lil Durk,6
2020-12-12,Holy,Justin Bieber Featuring Chance The Rapper,7
2020-12-12,I Hope,Gabby Barrett Featuring Charlie Puth,8
2020-12-12,Jingle Bell Rock,Bobby Helms,9
2020-12-12,Dynamite,BTS,10
2020-12-12,Blinding Lights,The Weeknd,11
2020-12-12,It's The Most Wonderful Time Of The Year,Andy Williams,12
2020-12-12,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,13
2020-12-12,Body,Megan Thee Stallion,14
2020-12-12,Go Crazy,Chris Brown & Young Thug,15
2020-12-12,Feliz Navidad,Jose Feliciano,16
2020-12-12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17
2020-12-12,The Christmas Song (Merry Christmas To You),Nat King Cole,18
2020-12-12,Kings & Queens,Ava Max,19
2020-12-12,Therefore I Am,Billie Eilish,20
2020-12-12,Last Christmas,Wham!,21
2020-12-12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,22
2020-12-12,Sleigh Ride,The Ronettes,23
2020-12-12,A Holly Jolly Christmas,Burl Ives,24
2020-12-12,34+35,Ariana Grande,25
2020-12-12,Levitating,Dua Lipa Featuring DaBaby,26
2020-12-12,Bang!,AJR,27
2020-12-12,Life Goes On,BTS,28
2020-12-12,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,29
2020-12-12,Underneath The Tree,Kelly Clarkson,30
2020-12-12,Be Like That,Kane Brown With Swae Lee & Khalid,31
2020-12-12,More Than My Hometown,Morgan Wallen,32
2020-12-12,WAP,Cardi B Featuring Megan Thee Stallion,33
2020-12-12,Happy Holiday / The Holiday Season,Andy Williams,34
2020-12-12,Rockstar,DaBaby Featuring Roddy Ricch,35
2020-12-12,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,36
2020-12-12,White Christmas,Bing Crosby,37
2020-12-12,Monster,Shawn Mendes & Justin Bieber,38
2020-12-12,It's Beginning To Look A Lot Like Christmas,Michael Buble,39
2020-12-12,Rudolph The Red-Nosed Reindeer,Gene Autry,40
2020-12-12,Christmas (Baby Please Come Home),Darlene Love,41
2020-12-12,Before You Go,Lewis Capaldi,42
2020-12-12,ily,surf mesa Featuring Emilee,43
2020-12-12,Said Sum,Moneybagg Yo,44
2020-12-12,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,45
2020-12-12,Lonely,Justin Bieber & benny blanco,46
2020-12-12,(There's No Place Like) Home For The Holidays,Perry Como,47
2020-12-12,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",48
2020-12-12,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,49
2020-12-12,Watermelon Sugar,Harry Styles,50
2020-12-12,Holiday,Lil Nas X,51
2020-12-12,What You Know Bout Love,Pop Smoke,52
2020-12-12,La Noche de Anoche,Bad Bunny & ROSALIA,53
2020-12-12,Hawai,Maluma & The Weeknd,54
2020-12-12,Better Together,Luke Combs,55
2020-12-12,"Big, Big Plans",Chris Lane,56
2020-12-12,Midnight Sky,Miley Cyrus,57
2020-12-12,Diamonds,Sam Smith,58
2020-12-12,Prisoner,Miley Cyrus Featuring Dua Lipa,59
2020-12-12,Te Mudaste,Bad Bunny,60
2020-12-12,Love You Like I Used To,Russell Dickerson,61
2020-12-12,Starting Over,Chris Stapleton,62
2020-12-12,Ain't Always The Cowboy,Jon Pardi,63
2020-12-12,Yo Visto Asi,Bad Bunny,64
2020-12-12,Dicked Down In Dallas,Trey Lewis,65
2020-12-12,I Should Probably Go To Bed,Dan + Shay,66
2020-12-12,You Broke Me First.,Tate McRae,67
2020-12-12,Forever After All,Luke Combs,68
2020-12-12,Whoopty,CJ,69
2020-12-12,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,70
2020-12-12,B.S.,Jhene Aiko Featuring H.E.R.,71
2020-12-12,Haciendo Que Me Amas,Bad Bunny,72
2020-12-12,My Ex's Best Friend,Machine Gun Kelly X blackbear,73
2020-12-12,Te Deseo Lo Mejor,Bad Bunny,74
2020-12-12,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,75
2020-12-12,7 Summers,Morgan Wallen,76
2020-12-12,Wonder,Shawn Mendes,77
2020-12-12,Booker T,Bad Bunny,78
2020-12-12,El Mundo Es Mio,Bad Bunny,79
2020-12-12,pov,Ariana Grande,80
2020-12-12,Hoy Cobre,Bad Bunny,81
2020-12-12,Champagne Night,Lady A,82
2020-12-12,Rockin' Around The Christmas Tree,Justin Bieber,83
2020-12-12,Somebody's Problem,Morgan Wallen,84
2020-12-12,Throat Baby (Go Baby),BRS Kash,85
2020-12-12,Still Goin Down,Morgan Wallen,86
2020-12-12,Maldita Pobreza,Bad Bunny,87
2020-12-12,Took Her To The O,King Von,88
2020-12-12,Don't Stop,Megan Thee Stallion Featuring Young Thug,89
2020-12-12,Hit Different,SZA Featuring Ty Dolla $ign,90
2020-12-12,Tyler Herro,Jack Harlow,91
2020-12-12,Golden,Harry Styles,92
2020-12-12,Good Time,Niko Moon,93
2020-12-12,La Droga,Bad Bunny,94
2020-12-12,Favorite Time Of Year,Carrie Underwood,95
2020-12-12,Back To The Streets,Saweetie Featuring Jhene Aiko,96
2020-12-12,Martin & Gina,Polo G,97
2020-12-12,Hole In The Bottle,Kelsea Ballerini,98
2020-12-12,So Done,The Kid LAROI,99
2020-12-12,Bichota,Karol G,100
